Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00001_001,SE_A00003_001,SE_A00003_002,SE_A00003_003
"41","Oregon","ACSSF","or","040","00","0000001",,,,,"41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US41","Oregon",,,,4176346,98378.59,95995.98,2382.618
"42","Pennsylvania","ACSSF","pa","040","00","0000001",,,,,"42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US42","Pennsylvania",,,,12794885,46054.15,44742.27,1311.883
"44","Rhode Island","ACSSF","ri","040","00","0000001",,,,,"44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US44","Rhode Island",,,,1057798,1544.969,1033.889,511.08
"45","South Carolina","ACSSF","sc","040","00","0000001",,,,,"45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US45","South Carolina",,,,5091517,32023.48,30064.28,1959.203
"46","South Dakota","ACSSF","sd","040","00","0000001",,,,,"46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US46","South Dakota",,,,879336,77116.05,75809.61,1306.44
"47","Tennessee","ACSSF","tn","040","00","0000001",,,,,"47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US47","Tennessee",,,,6772268,42129.37,41232.49,896.8819
"48","Texas","ACSSF","tx","040","00","0000001",,,,,"48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US48","Texas",,,,28635442,268595.8,261267.8,7327.969
"49","Utah","ACSSF","ut","040","00","0000001",,,,,"49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US49","Utah",,,,3151239,84898.09,82376.85,2521.242
"50","Vermont","ACSSF","vt","040","00","0000001",,,,,"50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US50","Vermont",,,,624340,9615.228,9217.448,397.7792
"51","Virginia","ACSSF","va","040","00","0000001",,,,,"51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US51","Virginia",,,,8509358,42774.81,39482.11,3292.707
"53","Washington","ACSSF","wa","040","00","0000001",,,,,"53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US53","Washington",,,,7512465,71300.6,66455.13,4845.483
"54","West Virginia","ACSSF","wv","040","00","0000001",,,,,"54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US54","West Virginia",,,,1807426,24230.04,24041.15,188.8835
"55","Wisconsin","ACSSF","wi","040","00","0000001",,,,,"55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US55","Wisconsin",,,,5806975,65496.82,54167.14,11329.67
"56","Wyoming","ACSSF","wy","040","00","0000001",,,,,"56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US56","Wyoming",,,,581348,97809.8,97088.76,721.0472
"72","Puerto Rico","ACSSF","pr","040","00","0000001",,,,,"72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US72","Puerto Rico",,,,3255642,5324.843,3424.321,1900.522
