Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00001_001,SE_A00003_001,SE_A00003_002,SE_A00003_003
"08018","State House District 18 (2018), Colorado","ACSSF","co","620","00","0008154",,,,,"08",,,,,,,,,,,,,,,,,,,,,,,,,"018",,,,,,,,,,,,,,"62000US08018","State House District 18 (2018)",,,,83603,33.74931,33.62609,0.1232176
"08019","State House District 19 (2018), Colorado","ACSSF","co","620","00","0008155",,,,,"08",,,,,,,,,,,,,,,,,,,,,,,,,"019",,,,,,,,,,,,,,"62000US08019","State House District 19 (2018)",,,,94794,829.7509,829.1481,0.6027387
"08020","State House District 20 (2018), Colorado","ACSSF","co","620","00","0008156",,,,,"08",,,,,,,,,,,,,,,,,,,,,,,,,"020",,,,,,,,,,,,,,"62000US08020","State House District 20 (2018)",,,,81495,251.9568,250.6699,1.286909
"08021","State House District 21 (2018), Colorado","ACSSF","co","620","00","0008157",,,,,"08",,,,,,,,,,,,,,,,,,,,,,,,,"021",,,,,,,,,,,,,,"62000US08021","State House District 21 (2018)",,,,89407,252.0746,251.4765,0.5980865
"08022","State House District 22 (2018), Colorado","ACSSF","co","620","00","0008158",,,,,"08",,,,,,,,,,,,,,,,,,,,,,,,,"022",,,,,,,,,,,,,,"62000US08022","State House District 22 (2018)",,,,79239,23.15481,22.33,0.8248127
"08023","State House District 23 (2018), Colorado","ACSSF","co","620","00","0008159",,,,,"08",,,,,,,,,,,,,,,,,,,,,,,,,"023",,,,,,,,,,,,,,"62000US08023","State House District 23 (2018)",,,,83306,25.92272,25.52451,0.3982076
"08024","State House District 24 (2018), Colorado","ACSSF","co","620","00","0008160",,,,,"08",,,,,,,,,,,,,,,,,,,,,,,,,"024",,,,,,,,,,,,,,"62000US08024","State House District 24 (2018)",,,,82727,36.55474,35.38637,1.168374
"08025","State House District 25 (2018), Colorado","ACSSF","co","620","00","0008161",,,,,"08",,,,,,,,,,,,,,,,,,,,,,,,,"025",,,,,,,,,,,,,,"62000US08025","State House District 25 (2018)",,,,81756,597.7519,594.1975,3.554426
"08026","State House District 26 (2018), Colorado","ACSSF","co","620","00","0008162",,,,,"08",,,,,,,,,,,,,,,,,,,,,,,,,"026",,,,,,,,,,,,,,"62000US08026","State House District 26 (2018)",,,,80277,842.5853,829.1481,13.43717
"08027","State House District 27 (2018), Colorado","ACSSF","co","620","00","0008163",,,,,"08",,,,,,,,,,,,,,,,,,,,,,,,,"027",,,,,,,,,,,,,,"62000US08027","State House District 27 (2018)",,,,88793,39.48687,38.81192,0.6749533
