Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00001_001,SE_A00003_001,SE_A00003_002,SE_A00003_003
"73072","Quincy, WA Urban Cluster (2010)","ACSSF","us","400","00","0009923",,,,,,,,,,,,,,,,,,,,,,,,,,"73072",,,,,,,,,,,,,,,,,,"40000US73072","Quincy",,,,6901,,,
"73126","Quitman, GA Urban Cluster (2010)","ACSSF","us","400","00","0009924",,,,,,,,,,,,,,,,,,,,,,,,,,"73126",,,,,,,,,,,,,,,,,,"40000US73126","Quitman",,,,3848,,,
"73136","Quitman, TX Urban Cluster (2010)","ACSSF","us","400","00","0009925",,,,,,,,,,,,,,,,,,,,,,,,,,"73136",,,,,,,,,,,,,,,,,,"40000US73136","Quitman",,,,3001,,,
"73153","Racine, WI Urbanized Area (2010)","ACSSF","us","400","00","0009926",,,,,,,,,,,,,,,,,,,,,,,,,,"73153",,,,,,,,,,,,,,,,,,"40000US73153","Racine",,,,132672,,,
"73245","Rainbow Lakes Estates, FL Urban Cluster (2010)","ACSSF","us","400","00","0009927",,,,,,,,,,,,,,,,,,,,,,,,,,"73245",,,,,,,,,,,,,,,,,,"40000US73245","Rainbow Lakes Estates",,,,4894,,,
"73261","Raleigh, NC Urbanized Area (2010)","ACSSF","us","400","00","0009928",,,,,,,,,,,,,,,,,,,,,,,,,,"73261",,,,,,,,,,,,,,,,,,"40000US73261","Raleigh",,,,1055169,,,
"73288","Ramona, CA Urban Cluster (2010)","ACSSF","us","400","00","0009929",,,,,,,,,,,,,,,,,,,,,,,,,,"73288",,,,,,,,,,,,,,,,,,"40000US73288","Ramona",,,,27123,,,
"73300","Ramseur, NC Urban Cluster (2010)","ACSSF","us","400","00","0009930",,,,,,,,,,,,,,,,,,,,,,,,,,"73300",,,,,,,,,,,,,,,,,,"40000US73300","Ramseur",,,,3339,,,
"73315","Rancho Calaveras--Valley Springs, CA Urban Cluster (2010)","ACSSF","us","400","00","0009931",,,,,,,,,,,,,,,,,,,,,,,,,,"73315",,,,,,,,,,,,,,,,,,"40000US73315","Rancho Calaveras--Valley Springs",,,,8919,,,
"73342","Rancho Murieta, CA Urban Cluster (2010)","ACSSF","us","400","00","0009932",,,,,,,,,,,,,,,,,,,,,,,,,,"73342",,,,,,,,,,,,,,,,,,"40000US73342","Rancho Murieta",,,,5588,,,
"73369","Rantoul, IL Urban Cluster (2010)","ACSSF","us","400","00","0009933",,,,,,,,,,,,,,,,,,,,,,,,,,"73369",,,,,,,,,,,,,,,,,,"40000US73369","Rantoul",,,,13982,,,
"73396","Rapid City, SD Urbanized Area (2010)","ACSSF","us","400","00","0009934",,,,,,,,,,,,,,,,,,,,,,,,,,"73396",,,,,,,,,,,,,,,,,,"40000US73396","Rapid City",,,,89054,,,
"73423","Rathdrum, ID Urban Cluster (2010)","ACSSF","us","400","00","0009935",,,,,,,,,,,,,,,,,,,,,,,,,,"73423",,,,,,,,,,,,,,,,,,"40000US73423","Rathdrum",,,,7741,,,
"73450","Raton, NM Urban Cluster (2010)","ACSSF","us","400","00","0009936",,,,,,,,,,,,,,,,,,,,,,,,,,"73450",,,,,,,,,,,,,,,,,,"40000US73450","Raton",,,,5685,,,
"73477","Ravena, NY Urban Cluster (2010)","ACSSF","us","400","00","0009937",,,,,,,,,,,,,,,,,,,,,,,,,,"73477",,,,,,,,,,,,,,,,,,"40000US73477","Ravena",,,,4927,,,
"73504","Ravenswood, WV Urban Cluster (2010)","ACSSF","us","400","00","0009938",,,,,,,,,,,,,,,,,,,,,,,,,,"73504",,,,,,,,,,,,,,,,,,"40000US73504","Ravenswood",,,,3829,,,
"73531","Rawlins, WY Urban Cluster (2010)","ACSSF","us","400","00","0009939",,,,,,,,,,,,,,,,,,,,,,,,,,"73531",,,,,,,,,,,,,,,,,,"40000US73531","Rawlins",,,,7840,,,
"73554","Raymond, MS Urban Cluster (2010)","ACSSF","us","400","00","0009940",,,,,,,,,,,,,,,,,,,,,,,,,,"73554",,,,,,,,,,,,,,,,,,"40000US73554","Raymond",,,,3198,,,
"73585","Raymond, WA Urban Cluster (2010)","ACSSF","us","400","00","0009941",,,,,,,,,,,,,,,,,,,,,,,,,,"73585",,,,,,,,,,,,,,,,,,"40000US73585","Raymond",,,,3891,,,
"73612","Raymondville, TX Urban Cluster (2010)","ACSSF","us","400","00","0009942",,,,,,,,,,,,,,,,,,,,,,,,,,"73612",,,,,,,,,,,,,,,,,,"40000US73612","Raymondville",,,,14698,,,
"73639","Rayne, LA Urban Cluster (2010)","ACSSF","us","400","00","0009943",,,,,,,,,,,,,,,,,,,,,,,,,,"73639",,,,,,,,,,,,,,,,,,"40000US73639","Rayne",,,,8884,,,
"73666","Rayville, LA Urban Cluster (2010)","ACSSF","us","400","00","0009944",,,,,,,,,,,,,,,,,,,,,,,,,,"73666",,,,,,,,,,,,,,,,,,"40000US73666","Rayville",,,,3437,,,
