fips,name,population,area
01201242,ZCTA 01242,337,0.5076174
01201243,ZCTA 01243,258,18.65375
01201244,ZCTA 01244,120,2.477264
01201245,ZCTA 01245,774,28.77599
01201247,ZCTA 01247,15340,53.09929
01201253,ZCTA 01253,789,18.69389
01201254,ZCTA 01254,961,14.63811
01201255,ZCTA 01255,891,52.94862
01201256,ZCTA 01256,701,36.03533
01201257,ZCTA 01257,1858,37.07437
01201258,ZCTA 01258,604,25.98739
01201259,ZCTA 01259,617,26.10186
01201260,ZCTA 01260,191,2.550398
01201262,ZCTA 01262,1136,12.85849
01201264,ZCTA 01264,214,11.37663
01201266,ZCTA 01266,1281,26.3541
01201267,ZCTA 01267,7796,54.65048
01201270,ZCTA 01270,897,32.01676
01301301,ZCTA 01301,17611,26.03561
01301330,ZCTA 01330,1594,33.5607
01301331,ZCTA 01331,13609,54.61075
01301337,ZCTA 01337,2442,37.3053
01301338,ZCTA 01338,150,3.456477
01301339,ZCTA 01339,1410,55.17058
01301340,ZCTA 01340,1780,44.04224
01301341,ZCTA 01341,1796,35.88507
01301342,ZCTA 01342,1165,18.6893
01301343,ZCTA 01343,78,4.902756
01301344,ZCTA 01344,1343,14.14255
01301346,ZCTA 01346,544,21.39322
01301347,ZCTA 01347,139,0.6625992
01301349,ZCTA 01349,1267,7.898673
01301350,ZCTA 01350,100,10.82974
01301351,ZCTA 01351,2577,21.36646
01301354,ZCTA 01354,1732,14.80003
01301355,ZCTA 01355,981,61.17579
01301360,ZCTA 01360,2973,35.35002
01301364,ZCTA 01364,7721,40.33189
01301366,ZCTA 01366,1155,40.93962
01301367,ZCTA 01367,519,27.21502
01301368,ZCTA 01368,1451,42.54798
01301370,ZCTA 01370,3727,50.37934
01301373,ZCTA 01373,4866,24.73916
01301375,ZCTA 01375,3643,14.73901
01301376,ZCTA 01376,4630,3.317223
01301378,ZCTA 01378,738,34.34046
01301379,ZCTA 01379,835,30.57825
01401420,ZCTA 01420,40576,31.00521
01401430,ZCTA 01430,6320,39.57061
01401431,ZCTA 01431,3211,24.05044
01401432,ZCTA 01432,7760,8.938594
01401434,ZCTA 01434,2007,5.432582
01401436,ZCTA 01436,3538,9.78738
01401438,ZCTA 01438,512,0.5607748
01401440,ZCTA 01440,20605,25.00427
01401450,ZCTA 01450,11322,33.78092
01401451,ZCTA 01451,4576,19.78552
01401452,ZCTA 01452,4758,41.98304
01401453,ZCTA 01453,41654,29.00315
01401460,ZCTA 01460,10152,17.50931
01401462,ZCTA 01462,11530,27.74566
01401463,ZCTA 01463,12113,23.17267
01401464,ZCTA 01464,7616,15.05664
01401467,ZCTA 01467,407,1.901983
01401468,ZCTA 01468,4065,21.6732
01401469,ZCTA 01469,7812,23.00962
01401473,ZCTA 01473,7874,37.25451
01401474,ZCTA 01474,1685,9.960762
01401475,ZCTA 01475,10831,43.89531
01501501,ZCTA 01501,16627,16.38909
01501503,ZCTA 01503,3312,13.17452
01501504,ZCTA 01504,9249,11.42855
01501505,ZCTA 01505,4666,19.74697
01501506,ZCTA 01506,3439,16.58363
01501507,ZCTA 01507,13610,43.79291
01501510,ZCTA 01510,13940,7.265371
01501515,ZCTA 01515,2157,10.42254
01501516,ZCTA 01516,9168,38.32308
01501518,ZCTA 01518,3606,9.62746
01501519,ZCTA 01519,7566,11.02399
01501520,ZCTA 01520,16059,18.7741
01501521,ZCTA 01521,2492,13.055
01501522,ZCTA 01522,3069,16.92081
01501523,ZCTA 01523,7809,25.65245
01501524,ZCTA 01524,6778,16.94384
01501525,ZCTA 01525,309,0.4801539
01501527,ZCTA 01527,13822,16.29684
01501529,ZCTA 01529,3249,4.919043
01501531,ZCTA 01531,1155,20.91765
01501532,ZCTA 01532,15047,18.74371
01501534,ZCTA 01534,5885,8.884051
01501535,ZCTA 01535,4774,21.9471
01501536,ZCTA 01536,7030,8.624588
01501537,ZCTA 01537,2244,7.096672
01501540,ZCTA 01540,11679,20.13627
01501541,ZCTA 01541,3466,35.83032
01501542,ZCTA 01542,2544,4.18949
01501543,ZCTA 01543,8799,36.26329
01501545,ZCTA 01545,37683,21.79458
01501550,ZCTA 01550,16865,20.86139
01501560,ZCTA 01560,4467,3.66638
01501561,ZCTA 01561,102,0.1232728
01501562,ZCTA 01562,11942,34.01162
01501564,ZCTA 01564,8130,31.67884
01501566,ZCTA 01566,5953,29.34
01501568,ZCTA 01568,7968,21.69136
01501569,ZCTA 01569,13901,29.68778
01501570,ZCTA 01570,16934,14.59701
01501571,ZCTA 01571,11699,21.89145
01501581,ZCTA 01581,19035,21.46206
01501583,ZCTA 01583,7752,13.52775
01501585,ZCTA 01585,4601,26.19205
01501588,ZCTA 01588,10439,9.245311
01501590,ZCTA 01590,9458,33.62602
01601602,ZCTA 01602,24363,6.011907
01601603,ZCTA 01603,18612,4.643579
01601604,ZCTA 01604,37633,6.622724
01601605,ZCTA 01605,27587,5.772902
01601606,ZCTA 01606,20060,5.93745
01601607,ZCTA 01607,8410,3.215584
01601608,ZCTA 01608,4910,0.4475337
01601609,ZCTA 01609,21780,3.843039
01601610,ZCTA 01610,22152,2.127789
01601611,ZCTA 01611,2036,3.692045
01601612,ZCTA 01612,4961,16.07864
01701701,ZCTA 01701,33742,17.66904
01701702,ZCTA 01702,39163,8.850961
01701718,ZCTA 01718,709,0.04643265
01701719,ZCTA 01719,5677,10.40779
01701720,ZCTA 01720,22914,20.14464
01701721,ZCTA 01721,17787,12.87422
01701730,ZCTA 01730,14072,13.87983
01701731,ZCTA 01731,2119,0.7922133
01701740,ZCTA 01740,5356,20.0796
01701741,ZCTA 01741,5232,15.52303
01701742,ZCTA 01742,18927,25.73331
01701745,ZCTA 01745,600,0.40022
01701746,ZCTA 01746,14792,19.05348
01701747,ZCTA 01747,5956,5.344661
01701748,ZCTA 01748,18030,27.85469
01701749,ZCTA 01749,19863,11.86583
01701752,ZCTA 01752,39663,22.10176
01701754,ZCTA 01754,10900,5.364789
01701756,ZCTA 01756,6146,17.98529
01701757,ZCTA 01757,28936,15.16794
01701760,ZCTA 01760,35770,15.81634
01701770,ZCTA 01770,4324,16.15973
01701772,ZCTA 01772,9551,15.11644
01701773,ZCTA 01773,4847,14.39658
01701775,ZCTA 01775,7159,17.99472
01701776,ZCTA 01776,19248,24.72463
01701778,ZCTA 01778,14038,16.00946
01801801,ZCTA 01801,40297,12.96099
01801803,ZCTA 01803,28077,11.82286
01801810,ZCTA 01810,36098,32.15455
