fips,name,population,area
0200300,"Hoonah City School District, Alaska",850,7.132848
0200330,"Hydaburg City School District, Alaska",363,0.2944686
0200360,"Kake City School District, Alaska",496,13.50574
0200390,"Kenai Peninsula Borough School District, Alaska",58809,1658.296
0200450,"Klawock City School District, Alaska",855,0.972335
0200480,"Kodiak Island Borough School District, Alaska",13383,1658.296
0200485,"Lake and Peninsula Borough School District, Alaska",1156,1658.296
0200510,"Matanuska-Susitna Borough School District, Alaska",107360,1387.696
0200520,"Iditarod Area School District, Alaska",1048,1376.026
0200525,"Annette Island School District, Alaska",1582,261.715
0200540,"Nenana City School District, Alaska",482,6.247977
0200570,"Nome School District, Alaska",3869,21.4866
0200600,"Fairbanks North Star Borough School District, Alaska",98455,929.2811
0200610,"North Slope Borough School District, Alaska",9375,1658.296
0200625,"Northwest Arctic Borough School District, Alaska",7709,1658.296
0200630,"Pelican City School District, Alaska",57,0.6143916
0200660,"Petersburg Borough School District, Alaska",3278,1658.296
0200670,"Pribilof School District, Alaska",501,477.7694
0200680,"St. Marys City School District, Alaska",660,51.56733
0200690,"Skagway School District, Alaska",1300,445.0465
0200700,"Southeast Island School District, Alaska",1836,1658.296
0200710,"Southwest Region School District, Alaska",2869,1658.296
0200715,"Tanana City School District, Alaska",173,14.99776
0200720,"Unalaska City School District, Alaska",4758,210.89
0200730,"Chatham School District, Alaska",1228,1658.296
0200760,"Kuspuk School District, Alaska",1391,1057.45
0200770,"Denali Borough School District, Alaska",2502,854.6716
0200775,"Yukon Flats School District, Alaska",1201,1658.296
0200780,"Valdez City School District, Alaska",3865,271.9077
0200800,"Chugach School District, Alaska",382,1658.296
0200810,"Wrangell School District, Alaska",2510,1658.296
0200840,"Yakutat School District, Alaska",597,1658.296
0200862,"Yukon-Koyukuk School District, Alaska",1909,1658.296
0400001,"Cave Creek Unified District, Arizona",64480,207.9449
0400003,"Chino Valley Unified District, Arizona",22827,401.7667
0400021,"Colorado City Unified District, Arizona",5996,829.4816
0400023,"Pinon Unified District, Arizona",5375,829.3298
0400026,"Heber-Overgaard Unified District, Arizona",3660,579.7391
0400212,"Benson Unified School District, Arizona",7115,585.3412
0400295,"Kingman Unified School District, Arizona",69909,898.4505
0400520,"Ajo Unified District, Arizona",2691,133.2042
0400680,"Amphitheater Unified District, Arizona",145973,109.3777
0400790,"Apache Junction Unified District, Arizona",65306,217.1011
0400910,"Ash Fork Joint Unified District, Arizona",2437,375.0979
0401000,"Bagdad Unified School District, Arizona",2466,473.8776
0401180,"Bisbee Unified District, Arizona",6673,340.6177
0401330,"Bowie Unified District, Arizona",670,395.7773
0401460,"Sierra Vista Unified District, Arizona",47951,108.185
0401600,"Camp Verde Unified District, Arizona",11868,441.4805
0401760,"Catalina Foothills Unified District, Arizona",29148,25.27548
0401810,"Cedar Unified District, Arizona",9418,829.686
0401870,"Chandler Unified District, Arizona",255070,79.5498
0401940,"Chinle Unified District, Arizona",19302,833.67
0402320,"Coolidge Unified District, Arizona",21052,226.6997
0402530,"Douglas Unified District, Arizona",21215,483.2562
0402600,"Duncan Unified District, Arizona",2861,469.7188
0402690,"Dysart Unified District, Arizona",191871,128.1437
0402860,"Flagstaff Unified District, Arizona",99562,845.9285
0402920,"Florence Unified School District, Arizona",106699,829.7318
0403010,"Flowing Wells Unified District, Arizona",30466,12.16011
0403040,"Fountain Hills Unified District, Arizona",25658,24.63259
0403080,"Fredonia-Moccasin Unified District, Arizona",2821,841.5245
0403150,"Fort Huachuca Accommodation District, Arizona",5563,126.8571
0403200,"Fort Thomas Unified District, Arizona",1973,836.0344
0403290,"Ganado Unified District, Arizona",7713,830.2922
0403310,"Gila Bend Unified District, Arizona",2357,829.1481
0403400,"Gilbert Unified District, Arizona",198837,60.28995
0403500,"Globe Unified District, Arizona",10467,262.0685
0403550,"Grand Canyon Unified District, Arizona",2316,516.4786
0403730,"Hayden-Winkelman Unified District, Arizona",1178,170.8191
0403780,"Higley Unified District, Arizona",85628,23.86889
0403820,"Holbrook Unified District, Arizona",9947,830.0574
0403870,"Humboldt Unified District, Arizona",58461,319.0665
0403950,"Indian Oasis-Baboquivari Unified District, Arizona",7468,829.424
0403990,"J. O. Combs Unified School District, Arizona",50467,68.11821
0404010,"Joseph City Unified District, Arizona",2266,472.3018
0404060,"Kayenta Unified District, Arizona",10306,830.3432
0404280,"Lake Havasu Unified District, Arizona",58563,193.3405
0404410,"Littlefield Unified District, Arizona",3815,838.4923
0404570,"Mammoth-San Manuel Unified District, Arizona",5615,253.165
0404630,"Marana Unified District, Arizona",100104,547.5035
0404720,"Maricopa Unified School District, Arizona",54551,158.3379
0404820,"Mayer Unified District, Arizona",7831,831.0657
0404970,"Mesa Unified District, Arizona",511472,189.3766
0405030,"Miami Unified District, Arizona",7067,322.9725
0405320,"Morenci Unified District, Arizona",6475,391.5382
0405460,"Nadaburg Unified School District, Arizona",9938,117.2663
0405530,"Nogales Unified District, Arizona",21132,195.0724
0405820,"Page Unified District, Arizona",13530,838.5259
0405930,"Paradise Valley Unified District, Arizona",271126,97.98556
0405980,"Parker Unified School District, Arizona",10918,704.742
0406070,"Payson Unified District, Arizona",21590,525.0948
0406120,"Peach Springs Unified District, Arizona",1631,357.3283
0406250,"Peoria Unified School District, Arizona",235615,138.2417
0406440,"Pima Unified District, Arizona",4026,757.9756
0406580,"Blue Ridge Unified District, Arizona",13470,77.03612
0406730,"Prescott Unified District, Arizona",60374,292.2586
0406740,"Sanders Unified District, Arizona",5675,830.0828
0406810,"Queen Creek Unified District, Arizona",51480,45.89645
0406850,"Ray Unified District, Arizona",4742,790.4885
0406870,"Red Mesa Unified District, Arizona",8561,830.1523
0406960,"San Carlos Unified District, Arizona",9068,842.2619
0407130,"Round Valley Unified District, Arizona",8683,837.9293
0407170,"Saddle Mountain Unified School District, Arizona",11686,549.3011
0407240,"Safford Unified District, Arizona",16983,422.9621
0407300,"Sahuarita Unified District, Arizona",28371,608.251
0407430,"San Simon Unified District, Arizona",659,603.7606
0407520,"Santa Cruz Valley Unified District, Arizona",19221,266.9304
0407570,"Scottsdale Unified District, Arizona",251715,111.1112
0407630,"Seligman Unified District, Arizona",1612,829.2919
0407700,"Show Low Unified District, Arizona",17614,353.5077
0407750,"Deer Valley Unified District, Arizona",265767,365.6385
0407820,"Snowflake Unified District, Arizona",13262,587.6578
0408020,"St. David Unified District, Arizona",2965,293.9694
0408080,"St. Johns Unified District, Arizona",3978,830.5647
0408170,"Sunnyside Unified District, Arizona",96831,96.59954
0408230,"Superior Unified School District, Arizona",3518,376.6728
0408280,"Tanque Verde Unified District, Arizona",11838,77.70293
0408410,"Thatcher Unified District, Arizona",7616,132.6478
0408600,"Tombstone Unified District, Arizona",7197,508.5273
0408680,"Tuba City Unified District, Arizona",16041,831.048
0408800,"Tucson Unified District, Arizona",484812,229.2133
0408850,"Vail Unified District, Arizona",64450,389.8604
0409160,"Whiteriver Unified District, Arizona",15020,831.7488
0409190,"Wickenburg Unified District, Arizona",15692,830.5428
0409250,"Willcox Unified District, Arizona",7719,830.8334
0409310,"Williams Unified District, Arizona",5293,829.6763
0409430,"Window Rock Unified District, Arizona",12517,437.2057
0409460,"Winslow Unified District, Arizona",11410,829.819
0409733,"Sedona-Oak Creek Joint Unified District, Arizona",14899,98.77253
0499997,"School District Not Defined, Arizona",67775,845.0233
0499999,"Remainder of Arizona, Arizona",2455064,
0500001,"DeWitt School District, Arkansas",8484,877.3354
0500006,"Warren School District, Arkansas",8030,230.923
0500009,"Corning Public Schools, Arkansas",6249,367.2786
0500012,"Riverside School District, Arkansas",4965,100.2874
0500015,"Sheridan School District, Arkansas",25683,622.8203
0500016,"Marmaduke School District, Arkansas",3555,121.543
0500017,"Paragould School District, Arkansas",20888,120.0717
0500019,"Batesville School District, Arkansas",20663,218.8973
0500020,"Midland School District, Arkansas",3651,166.5733
0500021,"Izard Cty Consolidated Schools, Arkansas",4615,180.2462
0500023,"Newport School District, Arkansas",10549,339.1651
0500026,"Pine Bluff School District, Arkansas",26453,183.3983
0500028,"Star City School District, Arkansas",7134,407.3962
0500029,"Gosnell School District, Arkansas",5119,111.3309
0500030,"Nevada School District, Arkansas",3127,357.8557
0500032,"Bearden School District, Arkansas",3283,251.6499
0500041,"Western Yell County School District, Arkansas",2620,158.7849
0500042,"Hamburg School District, Arkansas",8378,732.3185
0500043,"Mountain Home School District, Arkansas",33467,349.8641
0500044,"Magnolia School District, Arkansas",20177,461.7961
0500045,"Rivercrest School District, Arkansas",5701,374.9576
0500046,"Manila School District, Arkansas",4471,135.4787
0500047,"Trumann Schools, Arkansas",9801,119.9762
0500048,"East Poinsett County School District, Arkansas",3305,149.5932
0500049,"De Queen School District, Arkansas",13380,381.5571
0500051,"Palestine-Wheatley School District, Arkansas",2549,155.0539
0500065,"Lafayette County School District, Arkansas",4897,388.9722
0500067,"Cleveland County School District, Arkansas",4798,468.1635
0500068,"Emerson-Taylor-Bradley School District, Arkansas",5517,547.777
0500070,"Cedar Ridge School District, Arkansas",4567,270.588
0500071,"Hillcrest School District, Arkansas",3764,296.0128
0500072,"Deer/Mount Judea School District, Arkansas",2672,397.8657
0500073,"Ouachita River School District, Arkansas",4457,353.2871
0500076,"Ozark Mountain School District, Arkansas",5063,393.7135
0500079,"Two Rivers School District, Arkansas",6634,615.5637
0500082,"Lawrence County School District, Arkansas",7956,190.7909
0500405,"Cossatot River School District, Arkansas",6048,478.0987
0500419,"Jacksonville North Pulaski School District, Arkansas",37688,99.13967
0502250,"Alma School District, Arkansas",15989,102.2483
0502280,"Alpena School District, Arkansas",2915,126.5718
0502430,"Arkadelphia School District, Arkansas",15984,330.0464
0502550,"Armorel School District, Arkansas",2026,68.53315
0502580,"Ashdown School District, Arkansas",8985,344.9771
0502610,"Atkins Public Schools, Arkansas",6385,99.58208
0502670,"Augusta School District, Arkansas",3135,363.7395
0502700,"Bald Knob School District, Arkansas",6796,186.427
0502730,"Barton-Lexa School District, Arkansas",2612,153.9754
0502790,"Bauxite School District, Arkansas",6818,86.82252
0502820,"Bay School District, Arkansas",3111,64.61299
0502880,"Beebe School District, Arkansas",18578,235.676
0502960,"Benton School District, Arkansas",32557,105.2127
0503030,"Pea Ridge School District, Arkansas",9726,52.88503
0503060,"Bentonville Public Schools, Arkansas",103936,142.7464
0503090,"Bergman School District, Arkansas",4568,114.9606
0503150,"Berryville Public Schools, Arkansas",11753,215.5055
0503240,"Bismarck Public Schools, Arkansas",6742,179.1077
0503300,"Blevins School District, Arkansas",3649,232.4149
0503320,"Blytheville School District, Arkansas",14599,117.1345
0503420,"Lead Hill School District, Arkansas",3520,116.1559
0503450,"Booneville School District, Arkansas",6901,205.4342
0503480,"Bradford School District, Arkansas",2609,92.68309
0503630,"Brinkley School District, Arkansas",3664,232.1733
0503640,"Brookland School District, Arkansas",11525,113.0245
0503690,"Bryant Public Schools, Arkansas",54863,345.5982
0503710,"Buffalo Island Central School District, Arkansas",4735,137.2992
0503750,"Cabot Public Schools, Arkansas",53162,182.6456
0503770,"Caddo Hills School District, Arkansas",3500,321.2408
0503840,"Calico Rock School District, Arkansas",4126,192.7662
0503960,"Carlisle School District, Arkansas",4141,242.97
0504020,"Westside Consolidated School District, Arkansas",8819,208.98
0504050,"Cave City School District, Arkansas",8476,285.1147
0504080,"Cedarville School District, Arkansas",5587,151.6412
0504110,"Genoa Central School District, Arkansas",4638,79.05666
0504170,"White County Central School District, Arkansas",4021,59.45676
0504200,"Charleston School District, Arkansas",5199,109.3085
0504350,"Clarendon School District, Arkansas",3298,403.5415
0504370,"Rector School District, Arkansas",4030,179.3266
0504380,"Clarksville School District, Arkansas",14753,116.0744
0504410,"Clinton School District, Arkansas",7998,480.9025
0504560,"Concord Public Schools, Arkansas",3558,203.3996
0504590,"Conway Public Schools, Arkansas",78674,125.1011
0504680,"Cotter School District, Arkansas",5030,34.27236
0504740,"County Line School District, Arkansas",3476,142.682
0504800,"Crossett School District, Arkansas",11259,214.9933
0504860,"Cutter-Morning Star School District, Arkansas",3372,31.54483
0504890,"Danville School District, Arkansas",3560,148.4546
0504930,"Dardanelle Public Schools, Arkansas",10319,185.2169
0504980,"Decatur School District, Arkansas",3069,49.72052
0505170,"Dermott School District, Arkansas",3479,242.1311
0505190,"Des Arc Public Schools, Arkansas",3126,275.128
0505340,"Dierks School District, Arkansas",2593,227.8521
0505410,"Dollarway School District, Arkansas",11614,412.742
0505430,"Dover School District, Arkansas",8304,235.2813
0505470,"Drew Central School District, Arkansas",7617,563.5847
0505500,"Dumas School District, Arkansas",12028,366.3949
0505550,"Earle School District, Arkansas",2747,136.5038
